English,Engine A,Engine B,Label,,,
Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season.,سپر باؤل 50 2015 کے سیزن کے لیے نیشنل فٹ بال لیگ (NFL) کے چیمپئن کا تعین کرنے کے لیے ایک امریکی فٹ بال کھیل تھا۔,سپر باؤل 50 ایک امریکی فٹ بال کا کھیل تھا جس میں 2015 کے سیزن کے لئے نیشنل فٹ بال لیگ (این ایف ایل) کے چیمپئن کا تعین کیا گیا تھا۔,C,,,
The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title.,امریکن فٹ بال کانفرنس (اے ایف سی) کے چیمپئن ڈینور برونکوس نے نیشنل فٹ بال کانفرنس (این ایف سی) کی چیمپئن کیرولینا پینتھرز کو 24-10 سے شکست دے کر اپنا تیسرا سپر باؤل ٹائٹل اپنے نام کیا۔,امریکن فٹ بال کانفرنس (اے ایف سی) کے چیمپئن ڈینور برونکوس نے نیشنل فٹ بال کانفرنس (این ایف سی) کے چیمپئن کیرولائنا پینتھرس کو 24-10 سے شکست دے کر اپنا تیسرا سپر باؤل ٹائٹل حاصل کیا۔,B,,,
"The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",یہ کھیل 7 فروری 2016 کو سانتا کلارا، کیلیفورنیا کے سان فرانسسکو بے ایریا کے لیوی اسٹیڈیم میں کھیلا گیا۔,یہ کھیل 7 فروری ، 2016 کو کیلیفورنیا کے سان فرانسسکو بے ایریا میں لیویز اسٹیڈیم میں کھیلا گیا تھا۔,A,,,
"As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.","چونکہ یہ 50 واں سپر باؤل تھا، اس لیے لیگ نے مختلف گولڈ تھیم والے اقدامات کے ساتھ ""سنہری سالگرہ"" پر زور دیا، ساتھ ہی ساتھ ہر سپر باؤل گیم کو رومن ہندسوں کے ساتھ نام دینے کی روایت کو عارضی طور پر معطل کر دیا (جس کے تحت اس گیم کو ""گولڈن اینیورسری"" کے نام سے جانا جاتا تھا۔سپر باؤل ایل"")، تاکہ لوگو نمایاں طور پر عربی ہندسے 50 کو نمایاں کر سکے۔","چونکہ یہ 50 واں سپر باؤل تھا ، لیگ نے مختلف سونے کے موضوع پر مبنی اقدامات کے ساتھ ""گولڈن سالگرہ"" پر زور دیا ، نیز ہر سپر باؤل کھیل کو رومن ہندسوں کے ساتھ نامزد کرنے کی روایت کو عارضی طور پر معطل کردیا (جس کے تحت کھیل کو ""سپر باؤل ایل"" کے نام سے جانا جاتا تھا) ، تاکہ لوگو میں عربی ہندسوں 50 کو نمایاں طور پر پیش کیا جاسکے۔",B,,,
"The Broncos defeated the Pittsburgh Steelers in the divisional round, 23–16, by scoring 11 points in the final three minutes of the game.",برونکوس نے کھیل کے آخری تین منٹوں میں 11 پوائنٹس اسکور کرکے ڈویژنل راؤنڈ، 23-16 میں پٹسبرگ اسٹیلرز کو شکست دی۔,برونکس نے کھیل کے آخری تین منٹ میں 11 پوائنٹس اسکور کرکے ڈویژنل راؤنڈ میں پٹسبرگ اسٹیلرز کو 23-16 سے شکست دی۔,B,,,
"They then beat the defending Super Bowl XLIX champion New England Patriots in the AFC Championship Game, 20–18, by intercepting a pass on New England's 2-point conversion attempt with 17 seconds left on the clock.",اس کے بعد انہوں نے AFC چیمپئن شپ گیم میں دفاعی سپر باؤل XLIX چیمپئن نیو انگلینڈ پیٹریاٹس کو 20-18 سے شکست دی، نیو انگلینڈ کی 2 پوائنٹ کی تبدیلی کی کوشش پر ایک پاس کو روک کر گھڑی میں 17 سیکنڈ باقی تھے۔,اس کے بعد انہوں نے اے ایف سی چیمپئن شپ گیم میں دفاعی سپر باؤل ایکس ایل ایکس چیمپئن نیو انگلینڈ پیٹریاٹس کو 20-18 سے شکست دی ، نیو انگلینڈ کی 2 پوائنٹس کی تبادلوں کی کوشش پر 17 سیکنڈ باقی رہ گئے تھے۔,C,,,
"Despite Manning's problems with interceptions during the season, he didn't throw any in their two playoff games.",سیزن کے دوران رکاوٹوں کے ساتھ میننگ کے مسائل کے باوجود، اس نے اپنے دو پلے آف گیمز میں کوئی نہیں پھینکا۔,سیزن کے دوران مداخلت کے ساتھ میننگ کے مسائل کے باوجود ، انہوں نے اپنے دو پلے آف کھیلوں میں کوئی بھی گیند نہیں پھینکی۔,C,,,
The French and Indian War (1754–1763) was the North American theater of the worldwide Seven Years' War.,فرانسیسی اور ہندوستانی جنگ (1754–1763) دنیا بھر میں سات سال کی جنگ کا شمالی امریکہ کا تھیٹر تھا۔,فرانسیسی اور ہندوستانی جنگ (1754-1763) دنیا بھر میں سات سالہ جنگ کا شمالی امریکی تھیٹر تھا۔,B,,,
"The war was fought between the colonies of British America and New France, with both sides supported by military units from their parent countries of Great Britain and France, as well as Native American allies.",یہ جنگ برطانوی امریکہ اور نیو فرانس کی کالونیوں کے درمیان لڑی گئی تھی، جس میں دونوں فریقوں کو ان کے آبائی ممالک برطانیہ اور فرانس کے فوجی یونٹوں کے ساتھ ساتھ مقامی امریکی اتحادیوں کی حمایت حاصل تھی۔,یہ جنگ برطانوی امریکہ اور نیو فرانس کی نوآبادیات کے مابین لڑی گئی تھی ، جس میں دونوں فریقوں کو ان کے والدین ممالک برطانیہ اور فرانس کے فوجی یونٹوں کے ساتھ ساتھ مقامی امریکی اتحادیوں کی حمایت حاصل تھی۔,A,,,
"At the start of the war, the French North American colonies had a population of roughly 60,000 European settlers, compared with 2 million in the British North American colonies.","جنگ کے آغاز میں، فرانسیسی شمالی امریکی کالونیوں میں تقریباً 60,000 یورپی آباد کاروں کی آبادی تھی، جبکہ برطانوی شمالی امریکی کالونیوں میں یہ تعداد 2 ملین تھی۔",جنگ کے آغاز میں ، فرانسیسی شمالی امریکی نوآبادیات میں تقریبا 60 60،000 یورپی آبادکاروں کی آبادی تھی ، جبکہ برطانوی شمالی امریکی نوآبادیات میں 2 ملین تھے۔,A,,,
The outnumbered French particularly depended on the Indians.,زیادہ تعداد میں فرانسیسیوں کا انحصار خاص طور پر ہندوستانیوں پر تھا۔,تعداد میں زیادہ فرانسیسی خاص طور پر ہندوستانیوں پر انحصار کرتے تھے۔,C,,,
"Long in conflict, the metropole nations declared war on each other in 1756, escalating the war from a regional affair into an intercontinental conflict.",طویل عرصے سے تنازعات میں، میٹروپول اقوام نے 1756 میں ایک دوسرے کے خلاف جنگ کا اعلان کیا، جنگ کو علاقائی معاملے سے بین البراعظمی تنازعہ میں بڑھا دیا۔,طویل تنازعہ میں ، میٹروپول ممالک نے 1756 میں ایک دوسرے پر جنگ کا اعلان کیا۔,A,,,
"In 1755, six colonial governors in North America met with General Edward Braddock, the newly arrived British Army commander, and planned a four-way attack on the French.",1755 میں، شمالی امریکہ کے چھ نوآبادیاتی گورنروں نے برطانوی فوج کے نئے آنے والے کمانڈر جنرل ایڈورڈ بریڈوک سے ملاقات کی اور فرانسیسیوں پر چار طرفہ حملے کا منصوبہ بنایا۔,1755 میں ، شمالی امریکہ میں چھ نوآبادیاتی گورنروں نے نئے آنے والے برطانوی فوج کے کمانڈر جنرل ایڈورڈ بریڈک سے ملاقات کی ، اور فرانسیسیوں پر چار طرفہ حملے کی منصوبہ بندی کی۔,B,,,
"None succeeded and the main effort by Braddock was a disaster; he was defeated in the Battle of the Monongahela on July 9, 1755 and died a few days later.",کوئی بھی کامیاب نہیں ہوا اور بریڈاک کی اہم کوشش ایک تباہی تھی۔ اسے 9 جولائی 1755 کو مونونگھیلا کی جنگ میں شکست ہوئی اور کچھ دن بعد اس کی موت ہو گئی۔,کوئی بھی کامیاب نہیں ہوا اور بریڈک کی بنیادی کوشش ایک تباہی تھی۔ وہ 9 جولائی 1755 کو مونونگاہیلا کی لڑائی میں شکست کھا گیا اور چند دن بعد ہی فوت ہوگیا۔,C,,,
"British operations in 1755, 1756 and 1757 in the frontier areas of Pennsylvania and New York all failed, due to a combination of poor management, internal divisions, and effective Canadian scouts, French regular forces, and Indian warrior allies.",1755، 1756 اور 1757 میں پنسلوانیا اور نیو یارک کے سرحدی علاقوں میں برطانوی آپریشن ناکام ہو گئے، ناقص انتظام، اندرونی تقسیم، اور موثر کینیڈین سکاؤٹس، فرانسیسی باقاعدہ افواج، اور ہندوستانی جنگجو اتحادیوں کے امتزاج کی وجہ سے۔,1755 ، 1756 اور 1757 میں پنسلوانیا اور نیو یارک کے سرحدی علاقوں میں برطانوی کارروائیاں سب ناکام ہوگئیں ، ناقص انتظام ، اندرونی تقسیم ، اور موثر کینیڈین سکاؤٹس ، فرانسیسی باقاعدہ افواج ، اور ہندوستانی جنگجو اتحادیوں کے امتزاج کی وجہ سے۔,B,,,
"In 1755, the British captured Fort Beauséjour on the border separating Nova Scotia from Acadia; soon afterward they ordered the expulsion of the Acadians.",1755 میں، انگریزوں نے نووا سکوشیا کو اکیڈیا سے الگ کرنے والی سرحد پر واقع فورٹ بیوزور پر قبضہ کر لیا۔ اس کے فوراً بعد انہوں نے اکاڈینز کو نکالنے کا حکم دیا۔,1755 میں ، انگریزوں نے نووا اسکاٹیا کو اکادیا سے الگ کرنے والی سرحد پر فورٹوسے پر قبضہ کرلیا۔اس کے فورا بعد انہوں نے ایکادیوں کو ملک بدر کرنے کا حکم دیا۔,A,,,
"Orders for the deportation were given by William Shirley, Commander-in-Chief, North America, without direction from Great Britain.",ملک بدری کے احکامات شمالی امریکہ کے کمانڈر انچیف ولیم شرلی نے برطانیہ کی ہدایت کے بغیر دیئے تھے۔,شمالی امریکہ ، شمالی امریکہ کے کمانڈر ان چیف ، شیرلی ولیم نے بغیر ہتھیاروں کے برطانیہ سے نکال دیا۔,A,,,
"The Acadians, both those captured in arms and those who had sworn the loyalty oath to His Britannic Majesty, were expelled.",Acadians، دونوں وہ لوگ جو ہتھیاروں میں پکڑے گئے تھے اور جنہوں نے ہز برٹینک میجسٹی سے وفاداری کا حلف اٹھایا تھا، کو نکال دیا گیا تھا۔,ایکادیوں نے ان دونوں کو گرفتار کیا اور ان امریکیوں کو جو ان کی طرف سے وفاداری کی قسم کھائی تھی ، اسی طرح نیو انگلینڈ سے نکال دیا گیا تھا۔,A,,,
Native Americans were likewise driven off their land to make way for settlers from New England.,مقامی امریکیوں کو بھی اسی طرح نیو انگلینڈ سے آباد کاروں کے لیے راستہ بنانے کے لیے ان کی سرزمین سے نکال دیا گیا۔,نیو انگلینڈ سے آنے والے آباد کاروں کے لیے جگہ بنانے کے لیے مقامی امریکیوں کو بھی اپنی زمین سے بے دخل کر دیا گیا۔,B,,,
"The Western family includes Parthian (Arsacid Pahlavi) and Middle Persian, while Bactrian, Sogdian, Khwarezmian, Saka, and Old Ossetic (Scytho-Sarmatian) fall under the Eastern category.",مغربی خاندان میں پارٹیان (ارساسڈ پہلوی) اور درمیانی فارسی شامل ہیں ، جبکہ بیکٹرین ، سوگڈین ، خوارزمین ، ساکا ، اور پرانا اوسیٹک (سیتھو-سرمیٹین) مشرقی زمرے میں آتے ہیں۔,مغربی خاندان میں پارتھین (ارساکیڈ پہلوی) اور درمیانی فارسی شامل ہیں ، جبکہ بیکٹرین ، سوگڈین ، خوارزمین ، ساکا ، اور پرانے اوسیٹک (سکیتو-سارمیٹک) مشرقی زمرے میں آتے ہیں۔,C,,,
"These now exist alongside the city's older industries of the docks, grain milling, and tobacco processing.",یہ اب شہر کی ڈاکوں ، اناج کی گھسائی کرنے والی ، اور تمباکو پروسیسنگ کی پرانی صنعتوں کے ساتھ موجود ہیں۔,یہ اب شہر کی پرانی صنعتوں کے ساتھ ساتھ موجود ہیں جو بندرگاہوں، اناج کی گھسائی کرنے، اور تمباکو کی پروسیسنگ ہیں.,B,,,
"During the Cambrian period, Gondwana had a mild climate.",کیمبرین دور کے دوران ، گونڈوانا کی ہلکی سی آب و ہوا تھی۔,کیمبرین دور کے دوران ، گونڈوانا میں معتدل آب و ہوا تھی۔,B,,,
"Situated onshore of the Atlantic Ocean, Boston is the only state capital in the contiguous United States with an oceanic coastline.",بحر اوقیانوس کے ساحل پر واقع ، بوسٹن ایک سمندری ساحل کے ساتھ متنازعہ ریاستہائے متحدہ میں واحد ریاست کا دارالحکومت ہے۔,بحر اوقیانوس کے ساحل پر واقع ، بوسٹن ریاست ہائے متحدہ امریکہ کا واحد ریاستی دارالحکومت ہے جس میں سمندری ساحل ہے۔,B,,,
"Other critics, such as Thierry Groensteen and Scott McCloud, have emphasized the primacy of sequences of images.",دوسرے نقادوں ، جیسے تھیری گروینسٹین اور اسکاٹ میک کلاؤڈ ، نے تصاویر کے سلسلے کی اولیت پر زور دیا ہے۔,دیگر ناقدین ، جیسے تھری گرینسٹین اور اسکاٹ میک کلاؤڈ ، نے تصاویر کے تسلسل کی برتری پر زور دیا ہے۔,B,,,
The presence of fat in the small intestine produces hormones that stimulate the release of pancreatic lipase from the pancreas and bile from the liver which helps in the emulsification of fats for absorption of fatty acids.,چھوٹی آنت میں چربی کی موجودگی ہارمونز پیدا کرتی ہے جو لبلبے سے لبلبے کی لپیس کی رہائی کو متحرک کرتی ہے اور جگر سے پت ہے جو فیٹی ایسڈ کے جذب کے ل fat چربی کے املیفیکیشن میں مدد کرتا ہے۔,چھوٹی آنت میں چربی کی موجودگی ہارمون پیدا کرتی ہے جو پینکریٹک لیپاز کی پینکریاس اور جگر سے پھیپھڑوں کی رہائی کی حوصلہ افزائی کرتی ہے جو فیٹی ایسڈ کے جذب کے لئے چربی کی ایمولسیفیکیشن میں مدد کرتی ہے۔,B,,,
"The soundboard comes in many shapes—but generally round or teardrop-shaped, sometimes with scrolls or other projections.",ساؤنڈ بورڈ بہت سی شکلوں میں آتا ہے-لیکن عام طور پر گول یا آنسو کی شکل کے سائز کا ہوتا ہے ، بعض اوقات طومار یا دیگر تخمینے کے ساتھ۔,ساؤنڈ بورڈ بہت سی شکلوں میں آتا ہے - لیکن عام طور پر گول یا آنسو کی شکل میں ، کبھی کبھی رولز یا دیگر پروجیکشن کے ساتھ۔,C,,,
These arrived in December 1950.,یہ دسمبر 1950 میں پہنچے تھے۔,یہ دسمبر 1950 میں پہنچے.,B,,,
